test,item,score,speaker_name,speaker_style,speaker,speaker_gender,speaker_age,rater,rater_gender,rater_age
132,2,2,vaait,intense,3194,F.s,57,90,F.r,43
132,3,2,erand,intense,3195,M.s,44,90,F.r,43
132,4,2,paann,intense,3196,F.s,69,90,F.r,43
132,5,3,prjaa,intense,3197,M.s,39,90,F.r,43
132,6,5,pxeli,calm,3198,F.s,31,90,F.r,43
132,7,3,rachr,calm,3199,M.s,30,90,F.r,43
132,8,2,ktele,intense,3200,F.s,45,90,F.r,43
132,9,5,taarn,calm,3201,M.s,35,90,F.r,43
132,10,4,marii,calm,3202,F.s,38,90,F.r,43
132,11,2,ojand,intense,3203,M.s,37,90,F.r,43
132,12,2,deane,intense,3204,F.s,23,90,F.r,43
132,13,3,tuvei,calm,3205,M.s,37,90,F.r,43
132,14,2,lerea,intense,3206,F.s,30,90,F.r,43
132,15,2,raard,intense,3207,M.s,46,90,F.r,43
132,16,4,tapir,calm,3208,F.s,53,90,F.r,43
132,17,4,revel,calm,3209,M.s,39,90,F.r,43
132,18,2,reeli,calm,3210,F.s,44,90,F.r,43
132,19,1,raand,intense,3211,M.s,50,90,F.r,43
132,20,1,krpir,intense,3212,F.s,31,90,F.r,43
132,21,2,mafra,intense,3213,M.s,20,90,F.r,43
132,22,2,pueli,intense,3214,F.s,37,90,F.r,43
132,23,2,povei,calm,3215,M.s,31,90,F.r,43
132,24,2,pomir,intense,3216,F.s,38,90,F.r,43
132,25,2,laerk,intense,3217,M.s,44,90,F.r,43
132,26,5,pamer,calm,3218,F.s,50,90,F.r,43
132,27,2,saerk,intense,3219,M.s,41,90,F.r,43
132,28,2,mxmer,calm,3220,F.s,19,90,F.r,43
132,29,2,auerk,intense,3221,M.s,50,90,F.r,43
132,30,2,kleva,intense,3222,F.s,43,90,F.r,43
132,31,3,anago,intense,3223,M.s,48,90,F.r,43
132,32,4,pueli,calm,3224,F.s,37,90,F.r,43
132,33,4,ojand,calm,3225,M.s,37,90,F.r,43
132,34,2,marii,intense,3226,F.s,38,90,F.r,43
132,35,4,erand,calm,3227,M.s,44,90,F.r,43
132,36,3,ktele,calm,3228,F.s,45,90,F.r,43
132,37,2,revel,intense,3229,M.s,39,90,F.r,43
132,38,1,tapir,intense,3230,F.s,53,90,F.r,43
132,39,5,prjaa,calm,3231,M.s,39,90,F.r,43
132,40,3,vaait,calm,3232,F.s,57,90,F.r,43
132,41,3,raand,calm,3233,M.s,50,90,F.r,43
132,42,2,pomir,calm,3234,F.s,38,90,F.r,43
132,43,2,tuvei,intense,3235,M.s,37,90,F.r,43
132,44,3,deane,calm,3236,F.s,23,90,F.r,43
132,45,1,povei,intense,3237,M.s,31,90,F.r,43
132,46,3,lerea,calm,3238,F.s,30,90,F.r,43
132,47,3,raard,calm,3239,M.s,46,90,F.r,43
132,48,4,paann,calm,3240,F.s,69,90,F.r,43
132,49,2,taarn,intense,3241,M.s,35,90,F.r,43
132,50,3,krpir,calm,3242,F.s,31,90,F.r,43
132,51,2,rachr,intense,3243,M.s,30,90,F.r,43
132,52,4,pamer,intense,3244,F.s,50,90,F.r,43
132,53,5,auerk,calm,3245,M.s,50,90,F.r,43
132,54,2,mxmer,intense,3246,F.s,19,90,F.r,43
132,55,5,laerk,calm,3247,M.s,44,90,F.r,43
132,56,2,pxeli,intense,3248,F.s,31,90,F.r,43
132,57,4,saerk,calm,3249,M.s,41,90,F.r,43
132,58,2,reeli,intense,3250,F.s,44,90,F.r,43
132,59,5,mafra,calm,3251,M.s,20,90,F.r,43
132,60,5,kleva,calm,3252,F.s,43,90,F.r,43
132,1,1,anago,calm,3193,M.s,48,167,F.r,63
132,2,2,vaait,intense,3194,F.s,57,167,F.r,63
132,3,4,erand,intense,3195,M.s,44,167,F.r,63
132,4,1,paann,intense,3196,F.s,69,167,F.r,63
132,5,5,prjaa,intense,3197,M.s,39,167,F.r,63
132,6,5,pxeli,calm,3198,F.s,31,167,F.r,63
132,7,1,rachr,calm,3199,M.s,30,167,F.r,63
132,8,3,ktele,intense,3200,F.s,45,167,F.r,63
132,9,4,taarn,calm,3201,M.s,35,167,F.r,63
132,10,3,marii,calm,3202,F.s,38,167,F.r,63
132,11,1,ojand,intense,3203,M.s,37,167,F.r,63
132,12,2,deane,intense,3204,F.s,23,167,F.r,63
132,13,4,tuvei,calm,3205,M.s,37,167,F.r,63
132,14,1,lerea,intense,3206,F.s,30,167,F.r,63
132,15,3,raard,intense,3207,M.s,46,167,F.r,63
132,16,5,tapir,calm,3208,F.s,53,167,F.r,63
132,17,4,revel,calm,3209,M.s,39,167,F.r,63
132,18,3,reeli,calm,3210,F.s,44,167,F.r,63
132,19,2,raand,intense,3211,M.s,50,167,F.r,63
132,20,1,krpir,intense,3212,F.s,31,167,F.r,63
132,21,4,mafra,intense,3213,M.s,20,167,F.r,63
132,22,3,pueli,intense,3214,F.s,37,167,F.r,63
132,23,4,povei,calm,3215,M.s,31,167,F.r,63
132,24,1,pomir,intense,3216,F.s,38,167,F.r,63
132,25,1,laerk,intense,3217,M.s,44,167,F.r,63
132,26,5,pamer,calm,3218,F.s,50,167,F.r,63
132,27,2,saerk,intense,3219,M.s,41,167,F.r,63
132,28,4,mxmer,calm,3220,F.s,19,167,F.r,63
132,29,1,auerk,intense,3221,M.s,50,167,F.r,63
132,30,3,kleva,intense,3222,F.s,43,167,F.r,63
132,31,1,anago,intense,3223,M.s,48,167,F.r,63
132,32,3,pueli,calm,3224,F.s,37,167,F.r,63
132,33,5,ojand,calm,3225,M.s,37,167,F.r,63
132,34,1,marii,intense,3226,F.s,38,167,F.r,63
132,35,5,erand,calm,3227,M.s,44,167,F.r,63
132,36,4,ktele,calm,3228,F.s,45,167,F.r,63
132,37,2,revel,intense,3229,M.s,39,167,F.r,63
132,38,3,tapir,intense,3230,F.s,53,167,F.r,63
132,39,5,prjaa,calm,3231,M.s,39,167,F.r,63
132,40,3,vaait,calm,3232,F.s,57,167,F.r,63
132,41,3,raand,calm,3233,M.s,50,167,F.r,63
132,42,2,pomir,calm,3234,F.s,38,167,F.r,63
